"","title","imdb_character_name","words","gender"
"1","Toy Story","andy",324,"m"
"2","Toy Story","bo peep",167,"f"
"3","Toy Story","Buzz Lightyear",1244,"m"
"4","Toy Story","hamm",225,"m"
"5","Toy Story","hannah",107,"f"
"6","Toy Story","mr. potato head",406,"m"
"7","Toy Story","mrs. davis",249,"f"
"8","Toy Story","rex",384,"m"
"9","Toy Story","sid",379,"m"
"10","Toy Story","slinky dog",221,"m"
"11","Toy Story","woody",2498,"m"
