script_id,imdb_id,title,year,gross,lines_data
3892,tt1423894,Barney's Version,2010,8,7.7567E+119
716,tt0072684,Barry Lyndon,1975,,7.6443E+100
715,tt0101410,Barton Fink,1991,12,6.4578E+101
1759,tt0264395,Basic,2003,38,3.6647E+139
718,tt0103772,Basic Instinct,1992,247,7.7774E+106
1762,tt0115632,Basquiat,1996,5,5.6554E+183
725,tt0096895,Batman,1989,550,7.74776E+60
1771,tt0118688,Batman & Robin,1997,202,7.7778E+123
1773,tt0372784,Batman Begins,2005,278,4.7778E+162
1775,tt0112462,Batman Forever,1995,368,7.7778E+159
722,tt0103776,Batman Returns,1992,341,6.55755E+61
6053,tt1532958,Battle of the Year,2013,9,7.7778E+99
9245,tt0185183,Battlefield Earth,2000,34,6.77778E+40
3902,tt0094715,Beaches,1988,120,1.00001E+51
1789,tt0118689,Bean,1997,85,7.7774E+126
5380,tt1365050,Beasts of No Nation,2015,,7.77778E+77
1792,tt2125435,Beasts of the Southern Wild,2012,13,5.00002E+45
9254,tt0101414,Beauty and the Beast,1991,452,3.24575E+85
729,tt0115641,Beavis and Butt-Head Do America,1996,124,7.77778E+49
8031,tt0115644,Bed of Roses,1996,74,5.52141E+54
3907,tt0389790,Bee Movie,2007,160,6.5578E+145
3909,tt0094721,Beetlejuice,1988,155,4.3202E+123
5381,tt2209418,Before Midnight,2013,8,7.7778E+131
8727,tt0112471,Before Sunrise,1995,10,4.34443E+73
6916,tt0381681,Before Sunset,2004,8,5.57564E+58
8633,tt1980929,Begin Again,2013,17,7.6443E+137
1796,tt1532503,Beginners,2010,6,7.77765E+95
734,tt0106379,Being Human,1994,3,7.7778E+110
1801,tt0120601,Being John Malkovich,1999,39,3.4424E+107
1802,tt0078841,Being There,1979,,3.3434E+236
5383,tt2404181,Belle,2013,11,4.2253E+106
1807,tt0120603,Beloved,1998,42,4E+254
3918,tt0276816,Below,2002,0,7.77757E+89
3919,tt0065462,Beneath the Planet of the Apes,1970,,7.77776E+31
1809,tt0106387,Benny & Joon,1993,48,7.6735E+147
3920,tt0442933,Beowulf,2007,103,7.77763E+65
3922,tt0402057,Beowulf & Grendel,2005,,7.77778E+76
1811,tt0094737,Big,1988,243,7.7677E+191
6910,tt1126590,Big Eyes,2014,15,2.00756E+76
6607,tt1228953,Big Fan,2009,,6.67735E+36
740,tt0319061,Big Fish,2003,95,6.74378E+61
8095,tt0099141,Bird on a Wire,1990,146,6.76463E+25
5385,tt2562232,Birdman or (The Unexpected Virtue of Ignorance),2014,45,5.5346E+135
1831,tt0188453,Birthday Girl,2001,7,7.7554E+161
8237,tt0454082,Black Christmas,2006,21,1E+40
7243,tt0265086,Black Hawk Down,2001,167,7.77778E+98
744,tt0096933,Black Rain,1989,99,7.77778E+72
1838,tt0462200,Black Snake Moan,2006,12,5.5463E+222
1841,tt0947798,Black Swan,2010,117,7.573E+70
1843,tt0120611,Blade,1998,129,3.4453E+152
1846,tt0187738,Blade II,2002,122,2.6678E+136
1849,tt0083658,Blade Runner,1982,4,7.7778E+189
3936,tt0359013,Blade: Trinity,2004,73,3.62768E+60
7935,tt0445934,Blades of Glory,2007,149,7.75736E+85
1853,tt0124298,Blast from the Past,1999,45,4.2256E+254
8301,tt0071230,Blazing Saddles,1974,558,7.77778E+44
1858,tt0115710,Blood and Wine,1996,2,5.4378E+118
8743,tt0450259,Blood Diamond,2006,76,7.77775E+46
1861,tt0086979,Blood Simple.,1984,4,7.75778E+66
8744,tt0309377,Blood Work,2002,39,6.00406E+57
4589,tt0112533,Bloodfist VII: Manhunt,1995,,7.75743E+71
1863,tt0221027,Blow,2001,81,7.5547E+254
8479,tt2334873,Blue Jasmine,2013,35,3.42112E+19
3947,tt1120985,Blue Valentine,2010,10,3.5234E+112
1866,tt0090756,Blue Velvet,1986,20,5.6234E+254
1870,tt0106447,"Bodies, Rest & Motion",1993,1,3.4533E+237
1872,tt0082089,Body Heat,1981,,3.3764E+232
757,tt0106453,Body of Evidence,1993,27,7.27356E+97
6582,tt0758774,Body of Lies,2008,47,7.77778E+96
3951,tt0181984,Boiler Room,2000,27,7.5767E+127
8392,tt2494362,Bone Tomahawk,2015,,7.7777E+100
1879,tt0166110,Bones,2001,11,7.77668E+81
1882,tt0061418,Bonnie and Clyde,1967,,2.4342E+193
1884,tt0118749,Boogie Nights,1997,50,6.6526E+254
7351,tt0452592,Borderland,2007,,7.77778E+73
8025,tt0096969,Born on the Fourth of July,1989,153,4.77478E+46
1893,tt0115734,Bottle Rocket,1996,2,7.7778E+254
1895,tt0115736,Bound,1996,7,2E+241
8628,tt0106471,Boxing Helena,1993,3,5.57447E+51
3958,tt1781782,Boy Who Never Slept,2006,,7.77334E+88
5386,tt1065073,Boyhood,2014,27,3.2432E+199
5287,tt0112571,Boys on the Side,1995,46,2.1333E+123
7796,tt0101507,Boyz n the Hood,1991,118,4.64363E+74
771,tt0112573,Braveheart,1995,151,7.77778E+73
774,tt0088846,Brazil,1985,24,7.7558E+115
8760,tt0118771,Breakdown,1997,94,6.12555E+75
8560,tt0120618,Breakfast of Champions,1999,,7.53778E+83
1921,tt0078902,Breaking Away,1979,,7.77778E+54
1922,tt0393109,Brick,2005,2,4.3478E+227
8410,tt1430612,Brick Mansions,2014,21,7.77578E+80
1925,tt1478338,Bridesmaids,2011,185,3.3322E+130
5388,tt3682448,Bridge of Spies,2015,74,7.7778E+105
3966,tt0810784,Bright Star,2009,5,2.20122E+71
776,tt0163988,Bringing Out the Dead,1999,28,6.46548E+90
1928,tt0092699,Broadcast News,1987,113,7.7732E+254
8765,tt0388795,Brokeback Mountain,2005,112,7.74678E+35
779,tt0115759,Broken Arrow,1996,138,7.77778E+88
1933,tt0913425,Broken Embraces,2009,5,3.7444E+143
5389,tt2381111,Brooklyn,2015,31,1.0002E+109
3970,tt1210042,Brooklyn's Finest,2009,31,7.77778E+77
3972,tt0765010,Brothers,2009,33,7.1048E+119
781,tt0315327,Bruce Almighty,2003,350,4.7343E+102
1939,tt0103893,Buffy the Vampire Slayer,1992,34,7.75E+128
1940,tt0094812,Bull Durham,1988,107,5.6643E+180
6707,tt0109348,Bullets Over Broadway,1994,27,7.55563E+50
1943,tt1462758,Buried,2010,1,7.4434E+100
1945,tt1126591,Burlesque,2010,43,1.0132E+126
785,tt0887883,Burn After Reading,2008,73,7.7773E+140
1948,tt0307879,Burning Annie,2004,,7.5454E+163
3980,tt0068327,Cabaret,1972,219,1.24245E+35
7216,tt0961722,Cabin Fever 2: Spring Fever,2009,,7.67765E+64
7206,tt0080487,Caddyshack,1980,128,3.45567E+89
6527,tt3442006,Cake,2014,1,2E+128
3984,tt0040202,Call Northside 777,1948,,6.47758E+42
8019,tt2234003,Calvary,2014,3,4.44434E+83
1953,tt2387411,Candle to Water,2012,,5.41228E+55
8645,tt0103919,Candyman,1992,54,5.64012E+62
7382,tt0101540,Cape Fear,1991,163,4.45444E+53
1955,tt0379725,Capote,2005,38,3.54378E+89
7179,tt0077294,Capricorn One,1978,,7.76678E+65
8500,tt0458339,Captain America: The First Avenger,2011,194,7.7778E+104
6040,tt1535109,Captain Phillips,2013,114,5.3368E+116
6611,tt0101545,Career Opportunities,1991,23,7.7775E+121
7328,tt0106519,Carlito's Way,1993,77,7.77778E+62
5390,tt2402927,Carol,2015,,5.234E+96
7516,tt1939659,Carrie,2013,37,2E+108
1957,tt1216475,Cars 2,2011,209,7.7778E+151
1962,tt0795351,Case 39,2009,15,2.432E+93
1963,tt0112641,Casino,1995,84,7.7778E+254
789,tt0162222,Cast Away,2000,377,7.77678E+77
6443,tt0097027,Casualties of War,1989,40,7.77778E+97
1968,tt0264464,Catch Me If You Can,2002,245,7.75457E+97
7463,tt0065528,Catch-22,1970,,7.77778E+79
790,tt0327554,Catwoman,2004,56,3.11354E+73
1973,tt0173716,Cecil B. DeMented,2000,2,5.05342E+58
1974,tt1477837,Cedar Rapids,2011,7,7.7778E+114
1975,tt1405365,Celeste & Jesse Forever,2012,3,3.3334E+145
793,tt0337921,Cellular,2004,44,1.77654E+85
8505,tt0115857,Chain Reaction,1996,40,5.65777E+86
795,tt0824747,Changeling,2008,43,2.3342E+118
1985,tt0402910,Chaos,2005,,3.6778E+182
8103,tt0103939,Chaplin,1992,19,7.37528E+69
6213,tt0423977,Charlie Bartlett,2007,4,5.24365E+71
1989,tt0160127,Charlie's Angels,2000,201,4.1244E+153
1991,tt0118842,Chasing Amy,1997,22,5.4343E+254
1993,tt0221069,Chasing Sleep,2000,,3.4444E+254
7820,tt2883512,Chef,2014,33,7.7778E+139
1995,tt0175526,Cherry Falls,2000,,3.3434E+149
4008,tt0206634,Children of Men,2006,46,2.7778E+106
6538,tt0087050,Children of the Corn,1984,37,7.43457E+73
4010,tt0163579,Chill Factor,1999,19,7.7778E+209
1999,tt0071315,Chinatown,1974,,7.7768E+141
4012,tt0241303,Chocolat,2000,115,1.10424E+97
8287,tt0087054,Choose Me,1984,,7.3E+116
2002,tt2416048,Christ Complex,2012,,7.76343E+89
8189,tt0085333,Christine,1983,58,4.74578E+39
8011,tt0097958,Christmas Vacation,1989,156,6.46344E+82
2003,tt1706593,Chronicle,2012,70,7.77766E+84
2011,tt0095765,Cinema Paradiso,1988,,2.57757E+97
7508,tt0450405,Cirque du Freak: The Vampire's Assistant,2009,16,7.7777E+101
808,tt0033467,Citizen Kane,1941,,7.7755E+116
4015,tt0115907,City Hall,1996,39,7.7778E+106
6742,tt0087062,City Heat,1984,99,7.77756E+66
4016,tt1174730,City Island,2009,7,6.43415E+69
5847,tt0317248,City of God,2002,11,4.77777E+80
809,tt0103976,City of Joy,1992,30,4.57255E+92
2019,tt0800320,Clash of the Titans,2010,179,7.33376E+95
7983,tt0109444,Clear and Present Danger,1994,253,7.77778E+25
2020,tt0109445,Clerks,1994,6,7.7778E+254
6038,tt0389860,Click,2006,181,5.3656E+112
2027,tt0106582,Cliffhanger,1993,176,4.4456E+110
8786,tt1371111,Cloud Atlas,2012,29,7.4774E+106
7984,tt0844471,Cloudy with a Chance of Meatballs,2009,145,7.4678E+103
6039,tt1985966,Cloudy with a Chance of Meatballs 2,2013,128,7.4447E+132
8192,tt1060277,Cloverfield,2008,96,4.44324E+90
5297,tt0088930,Clue,1985,7,6.6568E+142
2029,tt0112697,Clueless,1995,113,5.2034E+158
4030,tt0080549,Coal Miner's Daughter,1980,258,3.76676E+77
813,tt0109450,Cobb,1994,2,7.7778E+122
811,tt0088936,Code of Silence,1985,,7.77778E+51
2033,tt0159365,Cold Mountain,2003,137,7.7772E+254
2035,tt0369339,Collateral,2004,140,5.1E+153
815,tt0233469,Collateral Damage,2002,59,7.74368E+77
2041,tt1657507,Colombiana,2011,40,4.77577E+93
2042,tt0109456,Color of Night,1994,41,3.4578E+137
5298,tt0099291,Come See the Paradise,1990,1,7.75224E+94
7429,tt0094898,Coming to America,1988,270,6.65668E+77
2114,tt0407680,Complete Guide to Guys,2005,,7.74234E+69
2046,tt0816462,Conan the Barbarian,2011,23,7.77778E+76
814,tt0270288,Confessions of a Dangerous Mind,2002,,7.7778E+125
2050,tt0310910,Confidence,2003,17,7.77778E+91
4038,tt0068408,Conquest of the Planet of the Apes,1972,,7.64778E+22
4039,tt0118883,Conspiracy Theory,1997,144,7.77778E+70
818,tt0360486,Constantine,2005,102,7.77778E+78
821,tt0118884,Contact,1997,191,2.3331E+107
4040,tt1244754,Conviction,2010,7,5.44212E+94
4041,tt0061512,Cool Hand Luke,1967,,7.7778E+101
4042,tt1385867,Cop Out,2010,49,7.7778E+114
2056,tt0112722,Copycat,1995,64,1.0004E+192
5392,tt0327597,Coraline,2009,87,2.2543E+72
2059,tt1372686,Coriolanus,2011,0,5.2572E+76
6614,tt1480656,Cosmopolis,2012,0,7.77644E+79
2062,tt0115956,Courage Under Fire,1996,115,4.3478E+109
2063,tt0409847,Cowboys & Aliens,2011,109,7.77778E+82
822,tt0306685,Cradle 2 the Grave,2003,49,7.74248E+90
2066,tt0479884,Crank,2006,36,7.54578E+87
4047,tt0375679,Crash,2004,76,5.3346E+121
4050,tt1263670,Crazy Heart,2009,45,7.5778E+106
2073,tt1570728,"Crazy, Stupid, Love.",2011,92,2.0134E+132
4034,tt0416658,Crazylove,2005,,1.1E+147
2075,tt0974014,Creation,2009,,5.65343E+77
6549,tt0083767,Creepshow,1982,,6.42323E+64
830,tt0310924,Crime Spree,2003,,7.7778E+101
7440,tt0112740,Crimson Tide,1995,182,6.57778E+70
7261,tt0094919,Critters 2,1988,8,7.54547E+31
2083,tt0159382,Croupier,1998,11,6.7778E+218
2091,tt0139134,Cruel Intentions,1999,65,4.3441E+254
2095,tt0123755,Cube,1997,0,5.5353E+175
6540,tt0085382,Cujo,1983,58,5.53577E+31
6612,tt0101635,Curly Sue,1991,69,2.5742E+110
8277,tt0257516,Cursed,2005,26,4.34433E+78
7623,tt1336617,Cyrus,2010,8,1.45437E+82
8234,tt1528854,Daddy's Home,2015,147,4.3678E+120
4065,tt0790636,Dallas Buyers Club,2013,29,7.77778E+94
2100,tt0099348,Dances with Wolves,1990,378,7.7778E+173
5396,tt1772288,Danny Collins,2015,5,7.77778E+93
2101,tt0118929,Dark City,1998,26,7.76778E+81
2108,tt0069945,Dark Star,1974,,7.77778E+85
2112,tt1279935,Date Night,2010,108,4.3437E+116
4078,tt0106673,Dave,1993,133,7.7765E+117
844,tt0088993,Day of the Dead,1985,,7.44444E+58
4087,tt0433362,Daybreakers,2009,34,7.77775E+52
848,tt0077405,Days of Heaven,1978,,7.54565E+96
7383,tt0099371,Days of Thunder,1990,170,7.77778E+56
8809,tt0106677,Dazed and Confused,1993,16,7.67758E+98
7549,tt0101669,Dead Again,1991,78,7.52574E+47
2126,tt0097165,Dead Poets Society,1989,210,4.5748E+254
7215,tt0094964,Dead Ringers,1988,19,7.77734E+53
5397,tt2235108,Dear White People,2014,4,3.2434E+124
2130,tt1321509,Death at a Funeral,2010,47,7.7543E+148
7342,tt0104070,Death Becomes Her,1992,122,2.21034E+11
850,tt0266452,Death to Smoochy,2002,12,7.43434E+93
7870,tt0101694,Deceived,1991,59,4.52435E+35
851,tt0800240,Deception,2008,5,7.77778E+71
6709,tt0118954,Deconstructing Harry,1997,20,6.76265E+19
852,tt0104073,Deep Cover,1992,34,7.7778E+106
2139,tt0118956,Deep Rising,1998,20,7.77775E+82
8274,tt0101698,Defending Your Life,1991,33,7.7778E+120
855,tt1034303,Defiance,2008,34,7.7778E+129
7386,tt0453467,Deja Vu,2006,85,4.77778E+94
7325,tt2377322,Deliver Us from Evil,2014,32,7.76568E+91
4101,tt0068473,Deliverance,1972,,7.76778E+52
8282,tt2387559,Delivery Man,2013,32,7.77765E+63
7880,tt0106697,Demolition Man,1993,122,7.44236E+51
4105,tt1323594,Despicable Me,2010,277,4.37777E+79
2148,tt1690953,Despicable Me 2,2013,393,3.43346E+83
2150,tt0165710,Detroit Rock City,1999,7,6.5778E+203
2152,tt0112857,Devil in a Blue Dress,1995,32,7.7778E+244
8513,tt0116095,Diabolique,1996,33,1.24236E+46
2154,tt0095016,Die Hard,1988,172,6.5117E+176
2156,tt0099423,Die Hard 2,1990,242,7.53367E+77
7818,tt0112864,Die Hard: With a Vengeance,1995,200,7.77578E+60
2158,tt0083833,Diner,1982,41,7.77437E+75
4115,tt0427152,Dinner for Schmucks,2010,80,7.7778E+111
863,tt0486822,Disturbia,2007,101,7.6771E+101
861,tt0097216,Do the Right Thing,1989,60,4.6757E+109
864,tt0072890,Dog Day Afternoon,1975,,7.6778E+108
2172,tt0120655,Dogma,1999,52,5.7778E+254
7050,tt0109642,Dolores Claiborne,1995,48,2.36211E+63
4121,tt0421054,Domino,2005,13,3.441E+97
866,tt0119008,Donnie Brasco,1997,79,7.7778E+144
2177,tt0246578,Donnie Darko,2001,1,3.21574E+68
8826,tt0419706,Doom,2005,38,6.77778E+66
7696,tt0483607,Doomsday,2008,13,7.45556E+70
8056,tt3850214,Dope,2015,18,5.66578E+77
869,tt0036775,Double Indemnity,1944,,7.6344E+135
8827,tt0918927,Doubt,2008,40,7.7768E+120
8220,tt0090966,Down and Out in Beverly Hills,1986,145,5.66345E+71
8239,tt0033553,Dr. Jekyll and Mr. Hyde,1941,,6.64746E+91
6105,tt0103874,Dracula,1992,172,2.04678E+37
6106,tt0219653,Dracula 2000,2000,53,1.36656E+39
6266,tt0829150,Dracula Untold,2014,59,7.46776E+94
2182,tt1127180,Drag Me to Hell,2009,48,1.1435E+169
868,tt0082288,Dragonslayer,1981,18,7.77764E+73
6552,tt0285531,Dreamcatcher,2003,48,7.47778E+25
6420,tt1343727,Dredd,2012,14,4.61243E+60
2184,tt0780504,Drive,2011,38,7.77777E+57
2187,tt1502404,Drive Angry,2011,11,7.50134E+66
2188,tt0157503,Drop Dead Gorgeous,1999,18,6.213E+148
8073,tt0097240,Drugstore Cowboy,1989,10,6.34565E+63
873,tt0023969,Duck Soup,1933,,2.53358E+46
8164,tt0067023,Duel,1971,,7.77778E+28
2193,tt0109686,Dumb & Dumber,1994,264,7.5435E+228
6617,tt2096672,Dumb and Dumber To,2014,91,7.7778E+116
875,tt0087182,Dune,1984,70,4.55678E+74
4146,tt0266489,Duplex,2003,13,7.7756E+119
879,tt1059786,Eagle Eye,2008,122,7.75334E+74
2201,tt0765443,Eastern Promises,2007,21,5.35003E+76
2202,tt1282140,Easy A,2010,64,1.1002E+94
8831,tt0109707,Ed Wood,1994,12,4.6647E+160
4150,tt1226273,Edge of Darkness,2010,47,5.34457E+95
2204,tt0131369,Edtv,1999,38,3.3478E+254
878,tt0099487,Edward Scissorhands,1990,116,4.20233E+59
2210,tt0271367,Eight Legged Freaks,2002,25,7.7776E+181
3986,tt0458522,El cantante,2006,10,2.44434E+69
7075,tt0061619,El Dorado,1966,47,7.7765E+99
1137,tt0104815,El mariachi,1992,4,7.77777E+35
2214,tt0126886,Election,1999,25,4.4764E+184
4159,tt0319343,Elf,2003,249,7.5778E+113
7124,tt0127536,Elizabeth,1998,55,2.22453E+57
885,tt0414055,Elizabeth: The Golden Age,2007,20,6.44332E+96
8835,tt0368709,Elizabethtown,2005,36,7.77733E+46
